S 5 3 3 2386 2578 0.0012573345 0.0011636928
S 3 16 13 2578 1895 0.005042669 0.0068601584
S 13 1 2 677 2835 0.0029542097 0.00070546736
S 12 5 8 878 2386 0.009111618 0.003352892
S 6 11 6 2331 1377 0.0025740026 0.0043572984
S 18 7 60 62 2013 0.9677419 0.02980626
S 0 13 1 3780 677 0.00026455027 0.0014771048
S 10 1 13 1444 2835 0.00900277 0.004585538
S 8 16 17 1944 1895 0.008744856 0.008970976
S 9 5 3 1670 2386 0.0017964072 0.0012573345
S 5 10 4 2386 1444 0.001676446 0.002770083
S 19 20 11 1087 66 0.010119596 0.16666667
S 3 11 2 2578 1377 0.0007757952 0.0014524328
S 13 8 10 677 1944 0.014771049 0.005144033
S 6 0 7 2331 3780 0.003003003 0.0018518518
S 2 3 8 2716 2578 0.002945508 0.0031031808
S 0 20 1 3780 66 0.00026455027 0.015151516
S 12 20 1 878 66 0.0011389522 0.015151516
S 10 14 2 1444 544 0.0013850415 0.0036764706
S 20 9 5 66 1670 0.07575758 0.002994012
S 5 13 1 2386 677 0.0004191115 0.0014771048
S 3 2 8 2578 2716 0.0031031808 0.002945508
S 1 19 3 2835 1087 0.0010582011 0.0027598897
S 11 0 8 1377 3780 0.0058097313 0.0021164021
S 19 5 1 1087 2386 0.0009199632 0.0004191115
S 1 11 27 2835 1377 0.00952381 0.019607844
S 2 10 1 2716 1444 0.0003681885 0.00069252076
S 0 3 9 3780 2578 0.0023809525 0.0034910783
S 16 1 21 1895 2835 0.011081794 0.0074074073
S 11 7 3 1377 2013 0.0021786492 0.001490313
S 19 10 4 1087 1444 0.0036798527 0.002770083
S 1 2 14 2835 2716 0.004938272 0.005154639
S 13 6 18 677 2331 0.026587889 0.0077220076
S 12 6 7 878 2331 0.007972665 0.003003003
S 8 7 7 1944 2013 0.003600823 0.003477397
S 6 14 3 2331 544 0.0012870013 0.005514706
S 0 10 5 3780 1444 0.0013227513 0.0034626038
S 16 8 17 1895 1944 0.008970976 0.008744856
S 14 9 4 544 1670 0.007352941 0.0023952096
S 11 14 60 1377 544 0.043572985 0.11029412
S 9 0 1 1670 3780 0.0005988024 0.00026455027
S 5 7 3 2386 2013 0.0012573345 0.001490313
S 3 12 6 2578 878 0.0023273856 0.006833713
S 1 5 18 2835 2386 0.0063492064 0.0075440067
S 8 12 21 1944 878 0.010802469 0.023917995
S 6 7 2 2331 2013 0.0008580009 0.000993542
S 2 0 20 2716 3780 0.00736377 0.005291005
S 16 19 34 1895 1087 0.017941952 0.031278748
S 14 0 1 544 3780 0.0018382353 0.00026455027
S 8 20 5 1944 66 0.0025720166 0.07575758
S 5 14 2 2386 544 0.000838223 0.0036764706
S 3 7 6 2578 2013 0.0023273856 0.002980626
S 7 0 18 2013 3780 0.008941878 0.004761905
S 19 0 1 1087 3780 0.0009199632 0.00026455027
S 12 8 21 878 1944 0.023917995 0.010802469
P ctg000000_P ctg000000_P
P ctg000001_P ctg000001_P
P ctg000002_P ctg000002_P
P ctg000003_P ctg000003_P
P ctg000004_P ctg000004_P
P ctg000005_P ctg000005_P
P ctg000006_P ctg000006_P
P ctg000007_P ctg000007_P
P ctg000008_P ctg000008_P
P ctg000009_P ctg000009_P
P ctg000010_P ctg000010_P
P ctg000011_P ctg000011_P
P ctg000012_P ctg000012_P
P ctg000013_P ctg000013_P
P ctg000014_P ctg000014_P
P ctg000015_P ctg000015_P
P ctg000022_P ctg000022_P
A ctg000023_P ctg000003_P
A ctg000024_P ctg000007_P
P ctg000107_P ctg000107_P
P ctg000108_P ctg000108_P
P ctg000121_P ctg000121_P
